TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-05 00:46:46,1767574006747,progresslms-backend.vercel.app/api/v1/academic-term,GET,,404,ljbtc-1767574006633-7cbb395c8a1c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,BYPASS,serverless,/vercel-entry.js,progresslms-backend.vercel.app,progresslms-backend-1vbhqvo8f-alis-projects-ae84a621.vercel.app,dpl_HUbjodnvFqNBYPfXqZNVaKUtDtb1,,,,,[DEBUG APP] Incoming: GET /api/v1/academic-term Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2OTU5Y2JjMWM4YjA0NmJkZWM5YzNmMTgiLCJyb2xlIjoiYWRtaW4iLCJzY2hvb2xJZCI6IjY5NTljYmJmZjE0MTE0MTFkYWMwMmU5MiIsImlhdCI6MTc2NzU2ODE4NywiZXhwIjoxNzY4MDg2NTg3fQ.et0NYjtnsriC8Zr2nH-8YxYimO-IVxFbCcAt4mr5QuY,prj_t9SWj5X9XVPfybKhNJm8l56WGx0Z,,,,,
2026-01-05 00:46:46,1767574006747,progresslms-backend.vercel.app/api/v1/academic-term,GET,,404,ljbtc-1767574006633-7cbb395c8a1c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,BYPASS,serverless,/vercel-entry.js,progresslms-backend.vercel.app,progresslms-backend-1vbhqvo8f-alis-projects-ae84a621.vercel.app,dpl_HUbjodnvFqNBYPfXqZNVaKUtDtb1,,,,,[404] Route not found: GET /api/v1/academic-term,prj_t9SWj5X9XVPfybKhNJm8l56WGx0Z,,,,,
2026-01-05 00:46:46,1767574006748,progresslms-backend.vercel.app/api/v1/academic-term,GET,,404,ljbtc-1767574006633-7cbb395c8a1c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,BYPASS,serverless,/vercel-entry.js,progresslms-backend.vercel.app,progresslms-backend-1vbhqvo8f-alis-projects-ae84a621.vercel.app,dpl_HUbjodnvFqNBYPfXqZNVaKUtDtb1,,,,,[0mGET /api/v1/academic-term [33m404[0m 0.899 ms - 60[0m,prj_t9SWj5X9XVPfybKhNJm8l56WGx0Z,,,,,
2026-01-05 00:46:46,1767574006633,progresslms-backend.vercel.app/api/v1/academic-term,GET,,404,ljbtc-1767574006633-7cbb395c8a1c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,BYPASS,serverless,/vercel-entry.js,progresslms-backend.vercel.app,progresslms-backend-1vbhqvo8f-alis-projects-ae84a621.vercel.app,dpl_HUbjodnvFqNBYPfXqZNVaKUtDtb1,5,iad1,280,2048,,prj_t9SWj5X9XVPfybKhNJm8l56WGx0Z,,,01KE5SXTYDKD8ZP03KVK7S0DWN,62BbQpkG1PJS,1
2026-01-05 00:46:46,1767574006633,progresslms-backend.vercel.app/api/v1/academic-term,GET,,404,ljbtc-1767574006633-7cbb395c8a1c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,BYPASS,static,/vercel-entry.js,progresslms-backend.vercel.app,progresslms-backend-1vbhqvo8f-alis-projects-ae84a621.vercel.app,dpl_HUbjodnvFqNBYPfXqZNVaKUtDtb1,211,dxb1,,,,prj_t9SWj5X9XVPfybKhNJm8l56WGx0Z,,,,,
2026-01-05 00:46:46,1767574006753,progresslms-backend.vercel.app/api/v1/class-levels,GET,,404,d2nv5-1767574006633-4b09269aeab4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,BYPASS,serverless,/vercel-entry.js,progresslms-backend.vercel.app,progresslms-backend-1vbhqvo8f-alis-projects-ae84a621.vercel.app,dpl_HUbjodnvFqNBYPfXqZNVaKUtDtb1,,,,,[DEBUG APP] Incoming: GET /api/v1/class-levels Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2OTU5Y2JjMWM4YjA0NmJkZWM5YzNmMTgiLCJyb2xlIjoiYWRtaW4iLCJzY2hvb2xJZCI6IjY5NTljYmJmZjE0MTE0MTFkYWMwMmU5MiIsImlhdCI6MTc2NzU2ODE4NywiZXhwIjoxNzY4MDg2NTg3fQ.et0NYjtnsriC8Zr2nH-8YxYimO-IVxFbCcAt4mr5QuY,prj_t9SWj5X9XVPfybKhNJm8l56WGx0Z,,,,,
2026-01-05 00:46:46,1767574006753,progresslms-backend.vercel.app/api/v1/class-levels,GET,,404,d2nv5-1767574006633-4b09269aeab4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,BYPASS,serverless,/vercel-entry.js,progresslms-backend.vercel.app,progresslms-backend-1vbhqvo8f-alis-projects-ae84a621.vercel.app,dpl_HUbjodnvFqNBYPfXqZNVaKUtDtb1,,,,,[404] Route not found: GET /api/v1/class-levels,prj_t9SWj5X9XVPfybKhNJm8l56WGx0Z,,,,,
2026-01-05 00:46:46,1767574006754,progresslms-backend.vercel.app/api/v1/class-levels,GET,,404,d2nv5-1767574006633-4b09269aeab4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,BYPASS,serverless,/vercel-entry.js,progresslms-backend.vercel.app,progresslms-backend-1vbhqvo8f-alis-projects-ae84a621.vercel.app,dpl_HUbjodnvFqNBYPfXqZNVaKUtDtb1,,,,,[0mGET /api/v1/class-levels [33m404[0m 0.897 ms - 59[0m,prj_t9SWj5X9XVPfybKhNJm8l56WGx0Z,,,,,
2026-01-05 00:46:46,1767574006633,progresslms-backend.vercel.app/api/v1/class-levels,GET,,404,d2nv5-1767574006633-4b09269aeab4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,BYPASS,serverless,/vercel-entry.js,progresslms-backend.vercel.app,progresslms-backend-1vbhqvo8f-alis-projects-ae84a621.vercel.app,dpl_HUbjodnvFqNBYPfXqZNVaKUtDtb1,13,iad1,275,2048,,prj_t9SWj5X9XVPfybKhNJm8l56WGx0Z,,,01KE5SXTYC1EXBV3AQK3Y7VWHB,SHOciMCl5SWZ,1
2026-01-05 00:46:46,1767574006633,progresslms-backend.vercel.app/api/v1/class-levels,GET,,404,d2nv5-1767574006633-4b09269aeab4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,BYPASS,static,/vercel-entry.js,progresslms-backend.vercel.app,progresslms-backend-1vbhqvo8f-alis-projects-ae84a621.vercel.app,dpl_HUbjodnvFqNBYPfXqZNVaKUtDtb1,217,dxb1,,,,prj_t9SWj5X9XVPfybKhNJm8l56WGx0Z,,,,,
